District,Building name,Last date of residence of the case(s),Related probable/confirmed cases,long_address,LatLong
Sai Kung,Yee Ching House Yee Ming Estate,,58,"Yee Ching House Yee Ming Estate, Sai Kung","22.30705,114.26329"
Sai Kung,Yee Ching House Yee Ming Estate,,128,"Yee Ching House Yee Ming Estate, Sai Kung","22.30705,114.26329"
Wan Chai,Envoy Garden,,114,"Envoy Garden, Wan Chai","22.26459,114.1886"
Wan Chai,Envoy Garden,,213,"Envoy Garden, Wan Chai","22.26459,114.1886"
Southern,"8Block 28, Baguio Villa",,117,"8Block 28, Baguio Villa, Southern","22.26269,114.1317"
Southern,"8Block 28, Baguio Villa",,118,"8Block 28, Baguio Villa, Southern","22.26269,114.1317"
Tai Po,"Heng Tai House, Fu Heng Estate",,119,"Heng Tai House, Fu Heng Estate, Tai Po","22.45709,114.17104"
Tai Po,"Heng Tai House, Fu Heng Estate",,124,"Heng Tai House, Fu Heng Estate, Tai Po","22.45709,114.17104"
Tai Po,"Heng Tai House, Fu Heng Estate",,140,"Heng Tai House, Fu Heng Estate, Tai Po","22.45709,114.17104"
Tuen Mun,"On Hei House, Siu Hei Court",,120,"On Hei House, Siu Hei Court, Tuen Mun","22.37319,113.96767"
Tuen Mun,"On Hei House, Siu Hei Court",,121,"On Hei House, Siu Hei Court, Tuen Mun","22.37319,113.96767"
Sha Tin,"Mau Lam House, Kwong Lam Court",,122,"Mau Lam House, Kwong Lam Court, Sha Tin","22.38056,114.21583"
Tsuen Wan,"Tower 7, Bellagio",,123,"Tower 7, Bellagio, Tsuen Wan","22.36685,114.0611"
Tsuen Wan,"Tower 7, Bellagio",,129,"Tower 7, Bellagio, Tsuen Wan","22.36685,114.0611"
Kwun Tong,"Block T, Telford Gardens",,125,"Block T, Telford Gardens, Kwun Tong","22.32472,114.21342"
Kwun Tong,"Block 26, Phase 2, Laguna City",,126,"Block 26, Phase 2, Laguna City, Kwun Tong","22.30759,114.22792"
Kwun Tong,"Block 26, Phase 2, Laguna City",,127,"Block 26, Phase 2, Laguna City, Kwun Tong","22.30759,114.22792"
Kwai Tsing,iPlace,,130,"iPlace, Kwai Tsing","22.36014,114.13489"
